route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
F,FDF,FDF9,Senhora da Hora,0,,FG
F,FDF,FDF10,Senhora da Hora,0,,FG
F,FDF,FDF11,Senhora da Hora,0,,FG
F,FDF,FDF12,Senhora da Hora,0,,FG
F,FDF,FDF13,Senhora da Hora,0,,FG
F,FDF,FDF14,Senhora da Hora,0,,FG
F,FDF,FDF15,Senhora da Hora,0,,FG
F,FDF,FDF16,Senhora da Hora,0,,FG
F,FDF,FDF17,Senhora da Hora,0,,FG
F,FDF,FDF18,Senhora da Hora,0,,FG
F,FDF,FDF19,Senhora da Hora,0,,FG
F,FDF,FDF20,Senhora da Hora,0,,FG
F,FDF,FDF21,Senhora da Hora,0,,FG
F,FDF,FDF22,Senhora da Hora,0,,FG
F,FDF,FDF23,Senhora da Hora,0,,FG
F,FDF,FDF24,Senhora da Hora,0,,FG
F,FDF,FDF25,Senhora da Hora,0,,FG
F,FDF,FDF26,Senhora da Hora,0,,FG
F,FDF,FDF27,Senhora da Hora,0,,FG
F,FDF,FDF28,Senhora da Hora,0,,FG
F,FDF,FDF29,Senhora da Hora,0,,FG
F,FDF,FDF30,Senhora da Hora,0,,FG
F,FDF,FDF31,Senhora da Hora,0,,FG
F,FDF,FDF32,Senhora da Hora,0,,FG
F,FDF,FDF33,Senhora da Hora,0,,FG
F,FDF,FDF34,Senhora da Hora,0,,FG
F,FDF,FDF35,Senhora da Hora,0,,FG
F,FDF,FDF36,Senhora da Hora,0,,FG
F,FDF,FDF37,Senhora da Hora,0,,FG
F,FDF,FDF38,Senhora da Hora,0,,FG
F,FDF,FDF39,Senhora da Hora,0,,FG
F,FDF,FDF40,Senhora da Hora,0,,FG
F,FDF,FDF41,Senhora da Hora,0,,FG
F,FDF,FDF42,Senhora da Hora,0,,FG
F,FDF,FDF43,Senhora da Hora,0,,FG
F,FDF,FDF44,Senhora da Hora,0,,FG
F,FDF,FDF45,Senhora da Hora,0,,FG
